id,listing_id,num_bedrooms,num_bathrooms,accommodates_guests,property_type,room_type,location_neighborhood,latitude,longitude,amenities_list,host_is_superhost,average_guest_rating,num_reviews,historical_occupancy_rate_percent,minimum_nights_stay,distance_to_city_center_km,public_transport_proximity,seasonal_period,local_demand_index_2025,price_per_night_inr
11,Wife,Country,6985.62,Story,Activity,Sport,Seem,5565.63,800.46,Hold,Dinner,1649.52,Resource,9672.82,Music,2306.43,Sort,Campaign,1635.43,2882.96
12,Medical,Pretty,5371.21,Assume,Address,Produce,Million,5196.13,33.32,Gas,Sport,31.85,Poor,4960.66,Kitchen,1848.54,Win,Oil,6075.01,7984.63
13,Defense,His,958.73,Specific,Recognize,Say,Call,5051.67,4061.38,Only,Citizen,7904.53,Base,9547.93,Miss,4167.18,Community,Wait,2432.68,8784.73
14,Government,During,272.76,Democrat,Common,Commercial,Fight,3304.66,3947.75,Citizen,Note,1779.84,Believe,6799.35,Nature,5182.66,Safe,About,2489.41,4132.51
15,Choice,About,6918.83,Really,Mission,Various,Crime,3249.64,677.06,Thing,Political,4605.03,World,1950.64,Success,6213.13,Today,Big,2018.89,1350.26
16,Everything,Mouth,8939.61,Social,Into,Attorney,Street,3302.88,2923.05,Society,Magazine,5382.59,Keep,6933.82,Court,6709.97,Either,Why,7983.94,2599.36
17,Unit,Create,4268.76,Agreement,Hotel,Give,Control,3639.6,5166.87,Indicate,Could,5740.46,Could,6292.88,Owner,679.54,Response,Than,3712.17,7085.64
18,National,Walk,353.27,Energy,Job,Must,Role,7462.38,6859.01,Key,Garden,4017.91,Camera,4491.71,Author,2643.41,Quickly,Magazine,7372.21,4804.05
19,Six,Day,2651.29,Production,Pretty,Own,Defense,293.53,3450.71,So,Central,9209.92,Nice,6761.45,Wall,6256.02,Early,Give,9338.81,306.05
20,Out,Final,6024.56,Car,Nothing,Mrs,Rule,1879.51,3969.44,Spend,Remain,1818.35,Vote,3491.3,Success,9013.78,Artist,Ever,7253.92,8462.92
21,Standard,Late,754.84,Another,Himself,Successful,Nation,3008.43,7841.61,North,Painting,404.51,Box,1897.22,Professional,818.57,Song,Author,8175.56,2322.46
22,Clearly,Hot,4242.92,Up,Section,Prove,Also,138.56,1136.67,Face,Skin,5139.96,Life,7913.11,Rich,3410.27,Home,Interest,3193.48,408.12
23,Food,List,996.16,Popular,Everything,Forget,Since,1485.15,2062.58,Mind,Media,5698.49,Apply,3588.93,Evidence,9777.27,Like,All,2841.1,8562.8
24,Discuss,Hair,917.74,Century,Will,Able,Require,5276.05,5494.74,Process,Summer,6572.96,World,4101.36,Because,5239.89,Allow,Bring,7778.12,1516.02
25,Play,Turn,5316.19,Cup,Travel,Industry,Military,5880.81,7816.97,Court,Explain,1637.11,Happy,4145.86,Detail,245.69,Week,First,6625.56,8680.3
26,Share,Forward,3535.28,Throughout,Important,Bag,Practice,8162.66,6580.29,Fish,Home,170.39,Step,4702.4,Treatment,457.39,Amount,Kind,3132.22,8006.39
27,Customer,College,1254.6,Beat,Character,Television,Follow,5653.7,567.19,Each,Go,1098.26,Language,9521.64,Deep,964.07,Address,Citizen,1741.14,9400.75
28,Build,My,3088.51,Almost,Strong,Growth,Including,2164.91,964.56,Front,Trial,4992.6,Amount,588.91,Effort,2200.53,Black,Memory,2221.18,7451.46
29,Church,Particular,1621.3,Design,Event,Over,No,5881.38,2416.91,Her,Cold,9938.21,Site,9906.38,Federal,9238.54,Always,Total,9000.84,5536.94
30,Try,Benefit,9308.56,Between,News,Despite,Often,6398.6,1593.91,Mother,Really,7323.49,It,8492.86,Need,144.52,Administration,Star,1949.19,7843.0
31,Nature,Civil,7680.5,Per,Night,Gas,Per,5605.81,1223.1,Sound,Station,2652.53,We,2357.15,Common,9805.84,Lot,Join,2253.25,3701.22
32,Less,Ago,6890.33,Hot,Recognize,Ahead,Trip,6631.66,5621.92,Important,Health,6506.77,Represent,8650.06,Team,9139.56,Now,Really,1084.47,301.28
33,Phone,Adult,9135.9,From,Many,Left,Answer,9102.65,3679.8,From,Form,3996.97,Improve,6849.1,Such,4215.09,Fire,Car,1110.28,2492.21
34,Hundred,Other,3037.2,Prevent,Art,Over,Break,5661.96,1712.11,Mention,By,7286.33,Big,9697.89,Possible,3848.45,Contain,Along,5703.15,6362.46
35,Yard,Approach,7979.81,For,Thing,Direction,Network,6291.13,5165.2,Big,Magazine,7205.02,Money,237.55,Manager,9397.93,Artist,Land,8986.33,6938.18
36,Discussion,Weight,2016.19,Doctor,Girl,Skill,Still,6256.04,281.24,Commercial,Identify,3976.99,Per,2153.69,Of,5612.38,Effort,Rich,2504.27,922.81
37,Market,Window,7938.64,Couple,We,Detail,On,2512.72,5597.1,Paper,Word,165.49,Ok,5634.62,Push,7892.5,Difficult,Collection,7849.93,3283.89
38,Remember,Sign,1284.04,Lose,Time,Song,Address,6094.76,3065.07,Rather,Day,2858.16,Baby,2101.14,Still,3933.22,We,Special,6822.06,4015.43
39,Available,Option,6464.47,System,Can,Between,Evidence,7278.24,8103.44,Our,Eat,5707.91,Different,9903.17,Fall,5020.74,Down,Modern,5371.84,6583.25
40,Hospital,Similar,9713.05,Risk,Likely,Record,International,7019.47,9168.34,Or,Enjoy,1586.63,Rather,4219.98,Little,7035.14,Treatment,Third,7327.16,8300.19
41,White,Mother,2663.57,Boy,National,All,Must,3147.16,4127.23,White,Now,3923.67,Whether,926.98,Responsibility,3897.61,Hold,Edge,6423.88,7394.7
42,Instead,Minute,2298.76,Reveal,Beautiful,Know,Make,6206.78,7511.04,Bring,Generation,1555.23,Enjoy,143.23,Life,1601.25,Fly,Language,6789.3,9133.2
43,Others,Capital,3872.62,Congress,Discover,Shoulder,Practice,3119.98,6272.63,Wife,Image,3161.87,Everybody,392.11,Own,2452.84,Up,Provide,6005.42,4578.01
44,Star,Success,3468.99,Control,Professional,Accept,Name,3921.64,1371.19,Sign,Service,7674.04,Fact,3740.33,Agent,6899.74,Sure,Yard,5677.92,9001.12
45,Measure,Way,7964.46,Go,Rule,Program,Defense,1322.89,4514.24,Street,Process,111.47,Five,7550.91,Ahead,2307.58,Short,Information,9765.88,2254.28
46,Hit,Dinner,5082.12,Would,Option,Enough,Drug,4915.88,8273.31,Best,Wife,5951.72,Student,8810.98,Democrat,3196.4,Enter,Why,974.84,1857.14
47,Opportunity,Accept,462.84,Admit,City,Order,Pass,7073.68,6860.59,Strategy,Woman,7546.62,Still,7808.77,Cell,1251.59,Get,Different,641.52,6590.79
48,Career,Third,11.47,Poor,Prevent,Follow,Mrs,3370.61,5876.63,Feeling,Air,6524.29,Develop,6155.97,Laugh,9493.92,Increase,Will,9746.22,3105.37
49,Rest,Partner,3149.92,Interest,Street,Race,Push,214.24,1210.61,Should,Recent,4381.74,Take,6417.16,Less,2356.81,Own,Or,994.34,6849.44
50,Far,Morning,6722.19,Fear,Note,Baby,Reason,5003.84,1409.5,Me,To,1969.11,Science,2681.0,Meeting,8527.95,Whom,Range,9261.5,471.62
51,Cold,Way,9367.6,Knowledge,Anyone,Score,Billion,9126.87,7928.66,Significant,We,2332.79,Themselves,9669.9,Call,8086.64,Exactly,Record,1393.7,357.84
52,Forward,View,3779.97,Itself,Sign,Including,Me,5795.57,246.52,Best,In,9546.21,Rise,6728.0,Quality,5166.81,Campaign,Sister,4919.34,1047.49
53,Lawyer,Drug,7477.79,Pressure,Account,Society,Low,7415.33,224.28,Clearly,Produce,8069.79,Address,3543.28,Heart,9331.3,Collection,Thought,3420.67,2118.61
54,Respond,Expect,1958.23,White,Charge,Impact,College,3315.42,707.35,Forget,Future,1625.02,Product,4725.2,Plant,5521.95,Four,Law,5575.31,1320.03
55,Among,Health,246.09,Else,Rock,Plan,Travel,1467.23,8994.76,Lot,Agreement,1363.42,Hand,6836.62,Remain,5554.98,Including,Modern,6000.73,9369.04
56,Certain,Policy,2556.64,Speak,Southern,House,Treat,7025.49,5175.39,Road,They,3685.38,Out,4010.96,That,2023.61,We,Fire,1008.35,9213.53
57,Style,Officer,6403.2,Cause,Moment,Live,Role,1698.5,8031.13,Activity,Man,1847.26,Someone,6622.62,Hold,5866.45,During,It,7967.76,4122.54
58,Marriage,Down,9552.08,Practice,Movie,Grow,Million,7190.87,4491.86,Find,Their,1210.68,Physical,2581.02,Drop,1323.48,Upon,Just,5211.62,8058.54
59,Front,Who,7421.79,Bill,Citizen,Cultural,None,6370.75,4268.51,Any,Soon,2784.64,Second,8038.79,Rich,6712.12,Young,Somebody,6636.05,5582.16
60,Can,Statement,7906.53,Impact,Car,Hospital,Attack,5888.77,2633.36,Deep,Reason,3735.4,Dinner,3097.39,Ability,2916.7,Beyond,Green,8984.21,7115.58
61,Every,People,6136.27,Energy,Read,Nothing,Power,4509.06,4853.87,Factor,Positive,1051.41,Page,4745.54,Force,5878.18,Hand,Forward,3502.7,5072.33
62,Including,Against,9992.91,Partner,Camera,Per,Left,9129.91,770.24,Less,Quality,9460.23,Four,7944.81,Eat,8123.0,Especially,Bit,8046.04,2086.53
63,Congress,Reveal,1320.19,Figure,Remember,Ask,Month,6419.29,8278.78,Career,Chance,1019.8,News,143.81,Debate,9469.79,Science,Executive,9100.21,2614.39
64,Development,Tonight,8290.49,Especially,With,Her,Anyone,2985.84,8415.2,Base,Write,129.72,Science,6083.9,While,2247.55,Chance,Structure,6358.63,250.64
65,Sit,Early,6472.26,Seek,Another,Table,Than,997.89,4436.2,Chair,Again,699.72,Also,3835.98,Charge,1559.92,Human,Language,3279.72,4695.61
66,Particularly,Kitchen,6591.14,Ago,Consumer,Clear,Remember,6336.14,5235.38,Mrs,Nation,8527.49,Charge,4108.19,Million,1441.5,Ten,Book,6852.81,3571.73
67,Heart,Small,9347.7,Bad,Site,Clearly,Age,3901.89,138.48,Away,Surface,3438.55,Today,9596.48,Health,4779.87,Cause,Worker,8228.51,3679.57
68,Herself,Guess,6084.17,Development,Financial,Deal,Number,759.19,2024.79,Glass,Into,1040.33,Avoid,4025.11,Glass,3234.33,Commercial,Enter,5578.06,6487.69
69,Marriage,Word,2399.3,Old,Condition,Onto,Senior,2681.58,245.83,Cause,If,1216.66,Ago,3814.47,Light,8992.33,Choice,Usually,1882.73,4078.02
70,We,Establish,128.23,Century,Speech,Return,Clear,5887.8,4208.08,One,Simple,3311.99,Plan,3898.37,Entire,2727.29,Write,Role,4080.82,1847.74
71,Especially,Figure,7125.56,Scientist,Able,Nation,Other,9331.36,9068.05,Home,Seek,3664.24,Institution,116.28,On,7689.11,Degree,However,4615.46,5452.43
72,Blood,We,6557.95,Will,Boy,Push,Notice,8116.04,5179.43,Condition,Majority,4344.23,Suggest,1314.56,More,418.59,Crime,Bad,1654.1,1546.66
73,Recognize,Thing,9408.01,Peace,Boy,Style,Box,5668.52,274.34,Itself,Civil,3182.24,Son,4119.84,Serve,8344.74,Answer,List,4132.75,5468.18
74,Provide,Camera,2640.5,International,Evening,Feeling,Cause,3231.43,797.47,Need,Near,7829.34,Down,4889.75,Sure,7313.93,Wife,Site,5721.66,889.95
75,Control,Public,2688.44,Billion,Late,Choice,Family,3201.67,7831.54,Either,Summer,3464.85,Call,9656.39,Remain,7966.85,Former,Record,6907.56,5315.92
76,Individual,Open,6923.78,Street,Sister,Perform,Stock,3387.23,1022.28,Everyone,Different,8582.61,Hour,4595.44,In,9582.52,Force,Accept,7319.78,5743.77
77,Film,Water,4270.77,Wait,Seek,Security,Positive,6861.29,2423.78,Lead,Little,3531.94,Kid,3196.39,Mention,8185.61,Book,Matter,9498.31,971.79
78,Matter,Discussion,245.05,People,Any,Hard,Contain,3526.92,6826.25,Movement,Customer,4377.49,Discuss,7600.52,While,9681.57,Society,Ball,6662.85,6660.83
79,Weight,Young,1431.61,Study,Pass,Task,Travel,5850.39,6276.03,Summer,Once,1952.12,Detail,258.99,Cost,6782.11,Cause,Continue,9932.68,6466.73
80,Quality,Above,2007.76,Their,Up,Blue,Carry,8704.09,3175.97,Address,Which,3413.14,Your,8134.53,Sometimes,7941.19,Where,Artist,9311.46,8847.36
81,Every,Campaign,23.65,Them,No,Fire,Thought,2287.42,5828.59,Teacher,Add,2317.77,Meet,8510.8,Political,7363.37,Pattern,Down,7560.37,9439.2
82,Ground,Provide,7076.75,Better,Ago,Add,Radio,9634.23,4664.99,Its,Black,1358.44,For,5166.02,Life,9487.3,Available,Back,6142.24,3221.57
83,Identify,Clearly,985.09,Live,Generation,Manager,Sister,1341.53,1226.14,Reason,Charge,7106.84,Property,3284.24,Themselves,4346.07,Need,How,9755.13,3321.31
84,Tonight,Energy,6535.04,Item,Top,Charge,Lay,3490.57,3856.19,Reveal,Third,4264.93,Heavy,4445.68,Score,1168.88,Worry,Down,6417.76,5562.34
85,In,Yourself,1116.47,Address,Main,Guy,By,9744.44,9870.06,Save,Mean,2749.23,Western,3406.39,Test,7806.45,Want,Hold,5061.89,5665.56
86,Call,Politics,7644.15,Explain,Bag,Never,Degree,7516.62,2653.72,Agree,Body,4871.31,Interesting,8104.52,Reality,8828.42,Game,Open,8661.17,7996.83
87,Miss,Range,6582.25,Court,Education,So,Executive,261.1,3657.24,Late,Ago,7090.63,Choice,2429.48,Campaign,629.7,Conference,I,5939.77,7683.39
88,East,Way,9961.41,Boy,Cup,Short,Involve,7282.12,4486.99,Realize,Add,320.41,Cup,6799.08,Per,8924.07,Likely,Kitchen,5180.06,5626.61
89,Morning,Glass,922.03,Organization,In,Kitchen,Explain,3207.92,5920.97,Wide,Involve,8029.1,Arm,3245.56,Crime,8317.55,Reality,Seem,5882.0,5549.48
90,Sense,Worker,2009.4,What,Bill,Hit,Level,6951.01,1369.8,Activity,Food,4204.48,Specific,8865.12,Appear,8679.19,Main,Recently,9445.08,1936.45
91,Offer,Tell,9044.85,Reality,Body,Task,Sort,4687.4,1644.49,National,Likely,8963.86,Leader,9502.43,Sure,9732.13,Catch,Week,3584.59,2249.16
92,Analysis,Bed,9246.82,Company,Talk,Clear,Leg,7127.87,9254.99,Yeah,Our,7294.16,Left,9846.34,Ahead,7300.19,Friend,Toward,8198.84,9228.58
93,Its,General,4297.4,They,Gun,Job,Option,9198.45,4137.11,Office,Middle,9610.08,Everything,5421.74,Prove,6408.64,Future,Language,97.65,3394.13
94,Base,Country,2749.85,Stay,Energy,Middle,Meet,119.98,3130.36,Side,Sound,2571.96,Owner,1087.71,North,2556.05,Behind,Ground,8603.71,2155.24
95,Exist,Of,6998.76,Front,Support,Stay,Meeting,9919.05,90.8,Half,Ok,7110.86,Style,1344.14,Force,1848.15,Rock,Total,3079.4,9179.26
96,Night,Head,8762.5,Role,Court,Ground,Bad,917.58,7901.22,Blue,Low,845.79,Toward,3586.97,Leader,9997.97,Machine,Strategy,8796.26,1097.46
97,Little,Sign,5670.73,Seem,Paper,Democrat,Late,4205.72,6751.05,Dog,Rich,8586.63,Southern,5576.6,Eight,9321.33,Television,Head,8963.96,1634.75
98,Machine,Front,569.58,Least,Tell,Investment,Network,1979.86,5079.11,Bill,Store,6949.74,Ago,8543.3,Seek,7310.79,Head,Show,6543.38,6009.77
99,Result,Whole,6541.05,Left,Throw,Soon,Agency,4001.1,6627.99,Suddenly,Reflect,8362.61,Eight,8564.61,Reflect,7186.05,Always,Character,6756.15,723.38
100,Hour,Pay,3279.64,Together,Product,A,Day,4556.11,3070.56,Talk,Agree,1982.59,Fill,3746.73,Resource,8334.78,Individual,More,2672.14,9355.34
101,Radio,Couple,63.28,Deep,Road,Truth,Glass,4219.57,7213.01,Friend,These,7548.35,Growth,119.33,Knowledge,1151.54,Tax,Election,707.95,5651.56
102,Study,Data,947.15,Word,Manage,Usually,There,3963.73,2822.28,Able,Early,1024.78,Drop,3746.95,Voice,4355.12,Pass,Thought,5783.66,3452.71
103,Each,Student,688.98,Today,Life,Since,Control,3289.66,6940.99,Something,Amount,35.77,Yet,5218.32,Wrong,195.23,Second,Third,8642.14,1966.62
104,Work,Man,5336.17,Chair,Century,Man,Nation,913.69,5472.99,Reduce,Head,7928.35,Positive,9145.83,Dream,7897.12,Fund,All,8936.89,77.81
105,Billion,Cold,8057.88,Center,Truth,Can,Stage,490.11,8705.57,See,Camera,9963.24,Get,7176.47,Physical,6063.3,Learn,Particular,7332.22,867.64
106,View,Go,8634.31,Stand,Ready,Movie,Happy,874.11,2387.41,Develop,Image,2700.72,Before,6875.84,Last,3935.99,Decade,Light,3858.93,5019.85
107,Despite,But,7533.03,Collection,Quality,Control,Only,8398.28,8451.06,Hot,Brother,2832.59,Suffer,524.1,Capital,943.23,Quickly,Face,1149.53,7456.82
108,Character,Grow,842.52,Woman,Statement,Doctor,Move,7564.88,17.92,Total,Our,6869.05,South,2473.15,Mean,6449.46,Society,All,7602.89,6545.57
109,Evidence,Fall,739.96,Message,Go,Take,A,207.37,3826.79,Use,Generation,9070.08,Tree,4644.83,So,2627.88,Successful,Move,4706.54,8204.56
110,Reason,Option,2070.88,Agree,So,History,Politics,1234.05,9184.66,Security,Special,4240.85,Eight,4437.96,Age,3109.11,At,See,2444.63,8619.47
111,Phone,Consider,8024.94,Special,Discuss,High,Should,2540.56,7249.78,Final,List,9190.41,Maintain,4177.36,Almost,9809.72,Although,Response,908.07,8377.31
112,Stop,Wait,8508.05,Voice,National,Avoid,Order,2522.52,2768.32,Other,Best,2719.67,Step,1365.97,Full,8111.04,Discover,Person,6983.77,7880.17
113,Large,Suggest,6421.13,Garden,Nation,Theory,Admit,2614.02,871.45,Per,Box,2584.67,One,7883.14,Treatment,196.41,Deep,Pressure,5334.4,3214.22
114,Run,Five,2885.11,Certain,Cell,Kitchen,Pay,3347.58,5916.36,Various,Trip,1689.35,You,1590.47,Seat,8495.68,Daughter,Society,7544.83,3597.57
115,West,Town,2487.83,Management,Girl,Community,Kind,5845.62,9324.83,War,Hope,7881.19,Specific,4430.99,Catch,6345.7,Her,Wide,3592.46,7093.04
116,Down,Likely,5179.15,Window,Something,Seem,Very,271.86,6739.43,Wish,Later,8715.79,Shoulder,4847.19,Very,1600.45,Miss,Show,3033.71,1923.89
117,Skin,Ten,8399.5,Five,Wind,Enjoy,Law,7354.19,2973.5,Become,Wide,3025.49,Employee,1263.17,Job,4402.64,Total,Create,9760.69,7569.08
118,Occur,Pass,9355.58,Put,Music,Act,Police,743.88,9255.27,Group,Short,9128.48,Face,8108.33,Memory,1281.27,Actually,Rest,8688.56,9780.88
119,Form,Later,7403.41,Even,Member,Boy,Weight,5145.58,3429.33,Especially,Green,8784.38,Traditional,5985.26,Soldier,3230.28,Dinner,Offer,822.46,173.92
120,Scene,Account,7020.01,Summer,Act,Rate,Seek,2956.27,1322.11,House,Center,3070.18,Collection,4620.54,Crime,8470.74,Reason,Foot,4741.7,1287.68
121,Interesting,Whose,8284.75,Movie,Under,Same,Benefit,6744.69,5459.75,Local,Street,8983.72,Personal,4052.58,Become,3871.38,Her,Husband,547.61,6957.55
122,Whether,Until,6217.21,Sell,Break,Others,Our,9474.95,78.4,Some,Kitchen,4128.73,Bag,4373.9,Republican,4153.33,Boy,Town,433.19,8146.08
123,Season,Open,429.72,Computer,Work,Also,War,6401.79,3125.29,Report,Common,4246.26,Former,8379.45,Art,2041.85,Decade,Energy,5115.0,2667.23
124,Movie,That,6100.89,Run,Science,Too,Police,5442.01,6673.45,Side,Development,954.65,Real,6326.58,Professor,6621.72,Plant,Break,677.49,9691.96
125,Ready,School,8507.75,Instead,Citizen,Recognize,Hope,7931.19,7864.34,Think,Safe,5001.26,Tough,9153.48,Hundred,1550.11,Serious,Federal,7437.18,9766.43
126,Republican,Story,627.56,Baby,Ago,Generation,Friend,6487.83,9732.08,Lose,Black,1417.76,Food,5591.36,Ability,8978.63,Decide,Factor,2637.55,2100.08
127,House,So,7177.27,These,All,Example,High,7943.13,9417.13,Worry,Produce,6525.55,According,538.49,Life,8211.73,Knowledge,Worry,2859.7,5635.17
128,Set,Must,7208.86,Somebody,Member,Actually,Music,9781.51,5513.81,Building,Avoid,1447.79,Never,5117.37,Other,5549.25,Soon,Between,7520.95,1910.59
129,Voice,Individual,5516.23,Somebody,Fear,This,Blue,496.48,9850.14,Put,House,226.22,Since,5410.24,Learn,1745.7,Better,Particular,2747.5,4022.45
130,Yourself,Hair,2530.88,Keep,Authority,Would,Get,2611.11,3086.55,Nothing,Rule,4991.95,Some,9564.45,About,2091.94,Population,Nearly,1726.43,428.91
131,Great,After,9156.38,Treat,Thing,Debate,It,7830.53,8305.52,None,Reason,1495.56,Benefit,4414.21,Four,6714.84,Officer,Exactly,5313.3,7323.27
132,Structure,Who,1942.14,Go,Strategy,Respond,Wall,9025.76,5919.53,First,Account,6118.83,Mention,5860.28,Sure,4428.89,Court,Appear,125.75,1637.31
133,Imagine,Truth,4812.02,Fight,Watch,Series,Court,819.09,5950.13,Police,Throughout,1900.25,Significant,6846.34,So,4050.09,Before,System,6576.03,2619.71
134,Treat,Begin,1245.86,Simply,Edge,Nearly,Expect,6643.21,8255.14,Three,Rise,2109.9,Indeed,366.51,Activity,8686.21,Imagine,Task,7532.57,7668.81
135,Morning,Understand,7906.93,Some,Thus,Those,Impact,4172.53,9510.51,Through,Visit,8075.74,Federal,7557.56,Back,9406.33,Area,Win,9080.99,5650.04
136,Between,Building,564.66,Pull,Skill,Throw,Become,5900.02,4957.14,Early,Something,169.16,City,3142.58,Ability,8202.32,Right,Somebody,6247.95,9302.71
137,End,Decide,7559.09,Quite,Crime,Soon,Head,1857.06,7132.8,Real,From,469.12,Back,8693.63,Economy,2942.74,Against,Stage,9710.31,476.95
138,Idea,Heavy,7424.44,What,Bar,Majority,Debate,1013.53,8630.6,Everyone,Office,8173.84,Many,5122.63,Rather,5631.74,Tend,Some,2199.31,3644.5
139,Despite,Knowledge,1483.35,Candidate,Defense,Why,Tend,3934.97,1379.44,Language,Take,6341.43,Life,4929.32,Pay,3553.63,Foreign,Majority,3462.57,9519.47
140,Election,Interview,9478.21,Training,Hit,Suffer,Name,9792.35,3625.81,Environmental,Son,820.04,Share,1627.69,Place,8604.3,Wide,Increase,3509.36,1470.49
141,Key,One,9556.52,Professor,Believe,Action,Third,2230.84,5603.24,Glass,Today,4135.62,Building,1381.14,Entire,3722.27,Surface,Factor,7883.89,5430.01
142,My,Expert,8577.97,Rather,Century,Mouth,Talk,160.52,1078.1,Recently,Say,4321.04,Laugh,6421.24,Store,4114.48,Long,Quality,2760.08,8143.55
143,Well,Every,8528.27,Wrong,Begin,Impact,Evening,6492.02,1324.53,Even,Story,7409.08,Involve,6075.87,Again,7348.14,Mrs,None,7356.17,5632.85
144,Next,Fund,3844.4,Imagine,Fight,Collection,Good,8374.14,9254.85,Perhaps,Concern,9513.64,Education,3035.22,Cold,2114.62,Too,Time,1925.94,6808.73
145,His,Somebody,9642.91,Buy,Here,Customer,Energy,2389.69,4492.76,Item,Pattern,5451.26,Character,4164.77,Work,5486.57,Health,Story,3709.0,5867.8
146,Article,Level,9780.7,Which,Protect,Plan,Her,7641.42,9628.96,To,Security,4212.18,Bag,1494.87,National,2021.31,Rich,Agreement,2314.56,7698.74
147,Model,Represent,2231.34,Save,Try,Memory,Become,5612.61,9272.52,Collection,To,4212.72,Floor,2370.94,Player,8874.69,Data,Record,9790.44,680.66
148,Though,Show,8226.07,Simply,North,Finish,Do,9742.77,2964.07,Five,Surface,3582.29,Card,1918.01,Nothing,2168.56,Less,Two,7695.13,4416.87
149,Clearly,Sometimes,3092.86,Become,Would,Her,Bad,3645.47,9074.05,Treatment,Wish,9967.63,Against,3196.04,While,2672.96,Country,Talk,2693.37,7839.95
150,Organization,Career,9087.8,Trouble,Area,Behind,Sit,1928.16,1047.45,Sit,My,3327.36,Crime,8302.13,Gun,8473.76,Smile,Unit,9500.84,4200.98
151,Second,Piece,432.86,Future,Team,Beautiful,Whom,458.39,8065.09,Adult,Bar,3747.72,Science,1703.58,Teacher,2818.24,Find,Idea,1000.95,9163.0
152,Cause,Let,4301.71,Food,Training,Maintain,Last,5048.63,1999.42,Throw,Especially,5226.76,Matter,2536.92,Coach,9390.64,Career,Them,8652.24,7185.78
153,Before,Represent,5642.37,Institution,Office,Image,Water,7305.16,847.07,Guess,Interview,3618.1,Send,8811.59,Impact,7911.41,Visit,Around,3156.58,3842.54
154,Ability,Safe,1393.61,Enter,Pretty,Fast,Yourself,8.17,9500.68,Enter,Across,1844.93,Crime,8010.43,Itself,1784.89,Stage,Leave,4551.31,5442.19
155,Subject,Just,1848.59,Cold,Animal,Teacher,Animal,2811.0,1392.5,Style,Push,38.13,You,3681.56,Form,8393.8,Nothing,Language,2200.94,4327.68
156,Million,This,3935.44,Market,Democratic,Drop,Much,5150.1,2142.3,Style,Example,473.77,Poor,3302.52,Imagine,9793.04,Off,Product,5802.29,4520.13
157,Region,Fear,2944.44,Beyond,Tree,Project,Issue,7167.88,1482.11,Recognize,Up,6136.5,Author,4995.61,Wrong,685.61,Group,Today,5009.57,3385.54
158,Specific,Student,104.58,Over,Stop,Brother,Month,4495.39,2039.07,Suggest,Whole,1068.9,Statement,6865.29,Clear,5534.85,Six,Increase,3908.01,7044.86
159,Serious,At,8767.33,Even,Range,Carry,Hair,3655.74,5263.36,Change,Anyone,8910.23,Operation,2664.07,Business,4515.58,Water,Foreign,4863.69,3605.16
160,Everything,Yard,5604.73,Develop,Knowledge,Series,Record,7875.05,8717.87,Study,Who,4126.63,Year,2833.44,People,7677.77,Read,Whose,7034.08,2741.15
161,Arm,With,4433.57,Tend,Feeling,Hand,Organization,2472.03,5236.35,Congress,Set,2085.87,Difficult,708.46,Fly,2646.4,Ok,Manager,870.94,2996.5
162,Check,Glass,3283.36,Music,Southern,One,Second,3106.57,9296.21,Soldier,Hour,7638.65,Cut,2613.69,Simple,9050.2,Ok,Movement,4822.15,151.22
